,sno,Brand_name,Category,Product_type,Product_name,Price,Product_code
0,0,Chanda Khuba,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,"₹1,490",
1,1,Chanda Khuba,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,"₹1,490",
2,2,Swear Clothes,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,₹447,
3,3,VALKO FASHION,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,₹299,
4,4,PROTOCOL,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹299,
5,5,PROTOCOL,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹319,
6,6,Chanda Khuba,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,"₹1,490",
7,7,Chanda Khuba,trendy stylish design Shirt for men look new cotton uni...,trendy stylish design Shirt for men look new cotton uni...,trendy stylish design Shirt for men look new cotton uni...,"₹1,490",
8,8,VALKO FASHION,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹319,
9,9,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
10,10,Chanda Khuba,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,"₹1,490",
11,11,Chanda Khuba,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","₹1,490",
12,12,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹499,
13,13,Indi Hemp,"Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...",₹499,
