,sno,return_time,country,size,size2,size3,size4,Occasion
0,0,10 days return policy?,India,S,M,L,XL,
1,1,10 days return policy?,India,S,M,L,XL,
2,2,10 Days Return Policy?,India,S,M,L,XL,
3,3,None,India,S,M,L,XL,
4,4,10 Days Return Policy?,India,S,M,L,XL,
5,5,None,India,S,M,L,XL,
6,6,10 days return policy?,India,S,M,L,XL,
7,7,None,India,S,M,L,XL,
8,8,None,India,S,M,L,XL,
9,9,None,India,S,M,L,XL,
10,10,None,India,S,M,L,XL,
11,11,10 Days Return Policy?,India,S,M,L,XL,
12,12,None,India,S,M,L,XL,
13,13,None,India,S,M,L,XL,
14,14,None,India,S,M,L,XL,
15,15,None,India,S,M,L,XL,
16,16,None,India,S,M,L,XL,
17,17,None,India,S,M,L,XL,
18,18,None,India,S,M,L,XL,
19,19,None,India,S,M,L,XL,
20,20,None,India,S,M,L,XL,
21,21,None,India,S,M,L,XL,
22,22,None,India,S,M,L,XL,
23,23,None,India,S,M,L,XL,
24,24,None,India,S,M,L,XL,
25,25,10 Days Return Policy?,India,S,M,L,XL,
26,26,None,India,S,M,L,XL,
27,27,10 Days Return Policy?,India,S,M,L,XL,
28,28,10 Days Return Policy?,India,S,M,L,XL,
29,29,None,India,S,M,L,XL,
30,30,None,India,S,M,L,XL,
31,31,10 Days Return Policy?,India,S,M,L,XL,
32,32,10 Days Return Policy?,India,S,M,L,XL,
33,33,10 Days Return Policy?,India,S,M,L,XL,
34,34,None,India,S,M,L,XL,
35,35,10 Days Return Policy?,India,S,M,L,XL,
36,36,10 Days Return Policy?,India,S,M,L,XL,
37,37,10 Days Return Policy?,India,S,M,L,XL,
38,38,10 Days Return Policy?,India,S,M,L,XL,
39,39,10 Days Return Policy?,India,S,M,L,XL,
40,40,10 days return policy?,India,S,M,L,XL,
41,41,10 days return policy?,India,S,M,L,XL,
42,42,10 Days Return Policy?,India,S,M,L,XL,
43,43,None,India,S,M,L,XL,
44,44,10 Days Return Policy?,India,S,M,L,XL,
45,45,None,India,S,M,L,XL,
46,46,10 days return policy?,India,S,M,L,XL,
47,47,None,India,S,M,L,XL,
48,48,None,India,S,M,L,XL,
49,49,None,India,S,M,L,XL,
50,50,None,India,S,M,L,XL,
51,51,10 Days Return Policy?,India,S,M,L,XL,
52,52,None,India,S,M,L,XL,
53,53,None,India,S,M,L,XL,
54,54,None,India,S,M,L,XL,
55,55,None,India,S,M,L,XL,
56,56,None,India,S,M,L,XL,
57,57,None,India,S,M,L,XL,
58,58,None,India,S,M,L,XL,
59,59,None,India,S,M,L,XL,
60,60,None,India,S,M,L,XL,
61,61,None,India,S,M,L,XL,
62,62,None,India,S,M,L,XL,
63,63,None,India,S,M,L,XL,
64,64,None,India,S,M,L,XL,
65,65,10 Days Return Policy?,India,S,M,L,XL,
66,66,None,India,S,M,L,XL,
67,67,10 Days Return Policy?,India,S,M,L,XL,
68,68,10 Days Return Policy?,India,S,M,L,XL,
69,69,None,India,S,M,L,XL,
70,70,None,India,S,M,L,XL,
71,71,10 Days Return Policy?,India,S,M,L,XL,
72,72,10 দিনের মধ্যে রিটার্নের নীতি ?,India,S,M,L,XL,
73,73,10 Days Return Policy?,India,S,M,L,XL,
74,74,None,India,S,M,L,XL,
75,75,10 Days Return Policy?,India,S,M,L,XL,
76,76,10 Days Return Policy?,India,S,M,L,XL,
77,77,10 Days Return Policy?,India,S,M,L,XL,
78,78,10 Days Return Policy?,India,S,M,L,XL,
79,79,10 Days Return Policy?,India,S,M,L,XL,
80,80,10 days return policy?,India,S,M,L,XL,
81,81,10 days return policy?,India,S,M,L,XL,
82,82,10 Days Return Policy?,India,S,M,L,XL,
83,83,None,India,S,M,L,XL,
84,84,10 Days Return Policy?,India,S,M,L,XL,
85,85,None,India,S,M,L,XL,
86,86,10 days return policy?,India,S,M,L,XL,
87,87,None,India,S,M,L,XL,
88,88,None,India,S,M,L,XL,
89,89,None,India,S,M,L,XL,
90,90,None,India,S,M,L,XL,
91,91,10 Days Return Policy?,India,S,M,L,XL,
92,92,None,India,S,M,L,XL,
93,93,None,India,S,M,L,XL,
94,94,None,India,S,M,L,XL,
95,95,None,India,S,M,L,XL,
96,96,None,India,S,M,L,XL,
97,97,None,India,S,M,L,XL,
98,98,None,India,S,M,L,XL,
99,99,None,India,S,M,L,XL,
100,100,None,India,S,M,L,XL,
101,101,None,India,S,M,L,XL,
102,102,None,India,S,M,L,XL,
103,103,None,India,S,M,L,XL,
104,104,None,India,S,M,L,XL,
105,105,10 Days Return Policy?,India,S,M,L,XL,
106,106,None,India,S,M,L,XL,
107,107,10 Days Return Policy?,India,S,M,L,XL,
108,108,10 Days Return Policy?,India,S,M,L,XL,
109,109,None,India,S,M,L,XL,
110,110,None,India,S,M,L,XL,
111,111,10 Days Return Policy?,India,S,M,L,XL,
112,112,10 Days Return Policy?,India,S,M,L,XL,
113,113,10 Days Return Policy?,India,S,M,L,XL,
114,114,None,India,S,M,L,XL,
115,115,10 Days Return Policy?,India,S,M,L,XL,
116,116,10 Days Return Policy?,India,S,M,L,XL,
117,117,10 Days Return Policy?,India,S,M,L,XL,
118,118,10 Days Return Policy?,India,S,M,L,XL,
119,119,10 Days Return Policy?,India,S,M,L,XL,
120,120,10 days return policy?,India,S,M,L,XL,
121,121,10 days return policy?,India,S,M,L,XL,
122,122,10 Days Return Policy?,India,S,M,L,XL,
123,123,None,India,S,M,L,XL,
124,124,10 Days Return Policy?,India,S,M,L,XL,
125,125,None,India,S,M,L,XL,
126,126,10 days return policy?,India,S,M,L,XL,
127,127,None,India,S,M,L,XL,
128,128,None,India,S,M,L,XL,
129,129,None,India,S,M,L,XL,
130,130,None,India,S,M,L,XL,
131,131,10 Days Return Policy?,India,S,M,L,XL,
132,132,None,India,S,M,L,XL,
133,133,None,India,S,M,L,XL,
134,134,None,India,S,M,L,XL,
135,135,None,India,S,M,L,XL,
136,136,None,India,S,M,L,XL,
137,137,None,India,S,M,L,XL,
138,138,None,India,S,M,L,XL,
139,139,None,India,S,M,L,XL,
140,140,None,India,S,M,L,XL,
141,141,None,India,S,M,L,XL,
142,142,None,India,S,M,L,XL,
143,143,None,India,S,M,L,XL,
144,144,None,India,S,M,L,XL,
145,145,10 Days Return Policy?,India,S,M,L,XL,
146,146,None,India,S,M,L,XL,
147,147,10 Days Return Policy?,India,S,M,L,XL,
148,148,10 Days Return Policy?,India,S,M,L,XL,
149,149,None,India,S,M,L,XL,
150,150,None,India,S,M,L,XL,
151,151,10 Days Return Policy?,India,S,M,L,XL,
152,152,10 Days Return Policy?,India,S,M,L,XL,
153,153,10 Days Return Policy?,India,S,M,L,XL,
154,154,None,India,S,M,L,XL,
155,155,10 Days Return Policy?,India,S,M,L,XL,
156,156,10 Days Return Policy?,India,S,M,L,XL,
157,157,10 Days Return Policy?,India,S,M,L,XL,
158,158,10 Days Return Policy?,India,S,M,L,XL,
159,159,10 Days Return Policy?,India,S,M,L,XL,
160,160,10 days return policy?,India,S,M,L,XL,
161,161,10 days return policy?,India,S,M,L,XL,
162,162,10 Days Return Policy?,India,S,M,L,XL,
163,163,None,India,S,M,L,XL,
164,164,10 Days Return Policy?,India,S,M,L,XL,
165,165,None,India,S,M,L,XL,
166,166,10 days return policy?,India,S,M,L,XL,
167,167,None,India,S,M,L,XL,
168,168,None,India,S,M,L,XL,
169,169,None,India,S,M,L,XL,
170,170,None,India,S,M,L,XL,
171,171,10 Days Return Policy?,India,S,M,L,XL,
172,172,None,India,S,M,L,XL,
173,173,None,India,S,M,L,XL,
174,174,None,India,S,M,L,XL,
175,175,None,India,S,M,L,XL,
176,176,None,India,S,M,L,XL,
177,177,None,India,S,M,L,XL,
178,178,None,India,S,M,L,XL,
179,179,None,India,S,M,L,XL,
180,180,None,India,S,M,L,XL,
181,181,None,India,S,M,L,XL,
182,182,None,India,S,M,L,XL,
183,183,None,India,S,M,L,XL,
184,184,None,India,S,M,L,XL,
185,185,10 Days Return Policy?,India,S,M,L,XL,
186,186,None,India,S,M,L,XL,
187,187,10 Days Return Policy?,India,S,M,L,XL,
